Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,13.25849012
mandelbrot,DaCe,256,13.33039577
mandelbrot,DaCe,256,13.36789263
mandelbrot,DaCe,256,13.40600687
mandelbrot,DaCe,256,13.26903047
mandelbrot,DaCe,256,13.18951425
mandelbrot,DaCe,256,13.34518926
mandelbrot,DaCe,256,13.34726584
mandelbrot,DaCe,256,13.13200062
mandelbrot,DaCe,256,13.14558751
mandelbrot,DaCe,256,13.08783736
mandelbrot,DaCe,256,13.23980548
mandelbrot,DaCe,256,13.25612278
mandelbrot,DaCe,256,13.25742505
mandelbrot,DaCe,256,13.32265698
mandelbrot,DaCe,256,13.29357247
mandelbrot,DaCe,256,13.32846055
mandelbrot,DaCe,256,13.21929970
mandelbrot,DaCe,256,13.11601937
mandelbrot,DaCe,256,13.31343155
[time_secs],13.26376029
[std],0.08727268
